TOP,JUNGLE,MIDDLE,BOTTOM,UTILITY,games,wins,win_rate
Tibbtokontop#EUW,WT BrokenSword#EUW,Billy Bongo#EUW,Sporus#EUW,WT GigaChad#1070,4,4,100.0
WT Nasty Boy#EUW,WT Final Stand#EUW,Billy Bongo#EUW,Tibbtokontop#EUW,BuddhaGoesSmite#EUW,3,3,100.0
WT Final Stand#EUW,Tibbtokontop#EUW,WT Nasty Boy#EUW,Sporus#EUW,BuddhaGoesSmite#EUW,2,2,100.0
WT Final Stand#EUW,WT Nasty Boy#EUW,Billy Bongo#EUW,WT GigaChad#1070,BuddhaGoesSmite#EUW,2,2,100.0
WT Final Stand#EUW,WT Nasty Boy#EUW,Tibbtokontop#EUW,Billy Bongo#EUW,BuddhaGoesSmite#EUW,2,2,100.0
Billy Bongo#EUW,WT BrokenSword#EUW,WT Nasty Boy#EUW,Tibbtokontop#EUW,WT Final Stand#EUW,1,1,100.0
Billy Bongo#EUW,WT Final Stand#EUW,BuddhaGoesSmite#EUW,Sporus#EUW,Tibbtokontop#EUW,1,1,100.0
Billy Bongo#EUW,WT Final Stand#EUW,Tibbtokontop#EUW,Sporus#EUW,BuddhaGoesSmite#EUW,1,1,100.0
Billy Bongo#EUW,WT Final Stand#EUW,WT BrokenSword#EUW,WT GigaChad#1070,BuddhaGoesSmite#EUW,1,1,100.0
BuddhaGoesSmite#EUW,WT BrokenSword#EUW,Billy Bongo#EUW,Tibbtokontop#EUW,WT Final Stand#EUW,1,1,100.0
Tibbtokontop#EUW,Billy Bongo#EUW,BuddhaGoesSmite#EUW,Sporus#EUW,WT Final Stand#EUW,1,1,100.0
Tibbtokontop#EUW,Billy Bongo#EUW,BuddhaGoesSmite#EUW,WT Final Stand#EUW,WT BrokenSword#EUW,1,1,100.0
Tibbtokontop#EUW,BuddhaGoesSmite#EUW,WT Final Stand#EUW,Billy Bongo#EUW,WT BrokenSword#EUW,1,1,100.0
Tibbtokontop#EUW,WT BrokenSword#EUW,Billy Bongo#EUW,WT GigaChad#1070,BuddhaGoesSmite#EUW,1,1,100.0
Tibbtokontop#EUW,WT BrokenSword#EUW,BuddhaGoesSmite#EUW,Billy Bongo#EUW,WT Nasty Boy#EUW,1,1,100.0
Tibbtokontop#EUW,WT BrokenSword#EUW,WT Final Stand#EUW,Billy Bongo#EUW,BuddhaGoesSmite#EUW,1,1,100.0
Tibbtokontop#EUW,WT BrokenSword#EUW,WT Final Stand#EUW,WT GigaChad#1070,BuddhaGoesSmite#EUW,1,1,100.0
Tibbtokontop#EUW,WT BrokenSword#EUW,WT Nasty Boy#EUW,Billy Bongo#EUW,BuddhaGoesSmite#EUW,1,1,100.0
Tibbtokontop#EUW,WT Final Stand#EUW,Billy Bongo#EUW,WT GigaChad#1070,WT BrokenSword#EUW,1,1,100.0
Tibbtokontop#EUW,WT Final Stand#EUW,WT Nasty Boy#EUW,Billy Bongo#EUW,WT BrokenSword#EUW,1,1,100.0
Tibbtokontop#EUW,WT GigaChad#1070,Billy Bongo#EUW,Sporus#EUW,WT Final Stand#EUW,1,1,100.0
Tibbtokontop#EUW,WT Nasty Boy#EUW,Billy Bongo#EUW,WT Final Stand#EUW,BuddhaGoesSmite#EUW,1,1,100.0
Tibbtokontop#EUW,WT Nasty Boy#EUW,WT Final Stand#EUW,Billy Bongo#EUW,WT BrokenSword#EUW,1,1,100.0
WT BrokenSword#EUW,Tibbtokontop#EUW,Billy Bongo#EUW,WT Final Stand#EUW,WT Nasty Boy#EUW,1,1,100.0
WT BrokenSword#EUW,WT Final Stand#EUW,Tibbtokontop#EUW,WT GigaChad#1070,BuddhaGoesSmite#EUW,1,1,100.0
WT Final Stand#EUW,Billy Bongo#EUW,Tibbtokontop#EUW,Sporus#EUW,BuddhaGoesSmite#EUW,1,1,100.0
WT Final Stand#EUW,BuddhaGoesSmite#EUW,Billy Bongo#EUW,Tibbtokontop#EUW,WT Nasty Boy#EUW,1,1,100.0
WT Final Stand#EUW,BuddhaGoesSmite#EUW,WT Nasty Boy#EUW,Sporus#EUW,Billy Bongo#EUW,1,1,100.0
WT Final Stand#EUW,WT BrokenSword#EUW,Billy Bongo#EUW,BuddhaGoesSmite#EUW,WT Nasty Boy#EUW,1,1,100.0
WT Final Stand#EUW,WT BrokenSword#EUW,Billy Bongo#EUW,WT GigaChad#1070,Tibbtokontop#EUW,1,1,100.0
WT Final Stand#EUW,WT BrokenSword#EUW,Billy Bongo#EUW,WT Nasty Boy#EUW,Tibbtokontop#EUW,1,1,100.0
WT Final Stand#EUW,WT BrokenSword#EUW,WT GigaChad#1070,Billy Bongo#EUW,Tibbtokontop#EUW,1,1,100.0
WT Final Stand#EUW,WT Nasty Boy#EUW,WT GigaChad#1070,Billy Bongo#EUW,Tibbtokontop#EUW,1,1,100.0
WT GigaChad#1070,Tibbtokontop#EUW,Billy Bongo#EUW,Sporus#EUW,WT Final Stand#EUW,1,1,100.0
WT Nasty Boy#EUW,Tibbtokontop#EUW,Billy Bongo#EUW,WT BrokenSword#EUW,WT Final Stand#EUW,1,1,100.0
WT Nasty Boy#EUW,Tibbtokontop#EUW,BuddhaGoesSmite#EUW,Sporus#EUW,WT Final Stand#EUW,1,1,100.0
WT Nasty Boy#EUW,WT GigaChad#1070,WT Final Stand#EUW,Billy Bongo#EUW,BuddhaGoesSmite#EUW,1,1,100.0
WT Nasty Boy#EUW,WT Final Stand#EUW,Billy Bongo#EUW,WT GigaChad#1070,BuddhaGoesSmite#EUW,9,7,77.77777777777779
Tibbtokontop#EUW,WT Final Stand#EUW,Billy Bongo#EUW,Sporus#EUW,BuddhaGoesSmite#EUW,3,2,66.66666666666666
WT Final Stand#EUW,BuddhaGoesSmite#EUW,Billy Bongo#EUW,Sporus#EUW,Tibbtokontop#EUW,3,2,66.66666666666666
WT Final Stand#EUW,Tibbtokontop#EUW,Billy Bongo#EUW,WT GigaChad#1070,BuddhaGoesSmite#EUW,3,2,66.66666666666666
WT Final Stand#EUW,WT BrokenSword#EUW,Billy Bongo#EUW,Sporus#EUW,BuddhaGoesSmite#EUW,3,2,66.66666666666666
Tibbtokontop#EUW,WT BrokenSword#EUW,Billy Bongo#EUW,Sporus#EUW,BuddhaGoesSmite#EUW,5,3,60.0
Tibbtokontop#EUW,WT Final Stand#EUW,Billy Bongo#EUW,WT GigaChad#1070,BuddhaGoesSmite#EUW,11,6,54.54545454545454
Tibbtokontop#EUW,WT Nasty Boy#EUW,WT Final Stand#EUW,Sporus#EUW,BuddhaGoesSmite#EUW,2,1,50.0
WT Final Stand#EUW,WT BrokenSword#EUW,Billy Bongo#EUW,WT GigaChad#1070,BuddhaGoesSmite#EUW,2,1,50.0
WT Final Stand#EUW,WT Nasty Boy#EUW,Tibbtokontop#EUW,WT GigaChad#1070,BuddhaGoesSmite#EUW,2,1,50.0
WT Final Stand#EUW,Tibbtokontop#EUW,Billy Bongo#EUW,Sporus#EUW,BuddhaGoesSmite#EUW,7,3,42.857142857142854
WT Final Stand#EUW,WT Nasty Boy#EUW,Billy Bongo#EUW,Tibbtokontop#EUW,BuddhaGoesSmite#EUW,5,2,40.0
WT Final Stand#EUW,Tibbtokontop#EUW,Billy Bongo#EUW,WT GigaChad#1070,WT BrokenSword#EUW,3,1,33.33333333333333
WT Final Stand#EUW,WT BrokenSword#EUW,Billy Bongo#EUW,Tibbtokontop#EUW,BuddhaGoesSmite#EUW,4,1,25.0
WT Final Stand#EUW,Billy Bongo#EUW,WT Nasty Boy#EUW,Tibbtokontop#EUW,BuddhaGoesSmite#EUW,2,0,0.0
WT Final Stand#EUW,Tibbtokontop#EUW,Billy Bongo#EUW,Sporus#EUW,WT BrokenSword#EUW,2,0,0.0
WT Final Stand#EUW,WT BrokenSword#EUW,Billy Bongo#EUW,Tibbtokontop#EUW,WT Nasty Boy#EUW,2,0,0.0
WT Final Stand#EUW,WT BrokenSword#EUW,WT GigaChad#1070,Tibbtokontop#EUW,BuddhaGoesSmite#EUW,2,0,0.0
WT Final Stand#EUW,WT Nasty Boy#EUW,Tibbtokontop#EUW,Sporus#EUW,BuddhaGoesSmite#EUW,2,0,0.0
Billy Bongo#EUW,Tibbtokontop#EUW,BuddhaGoesSmite#EUW,WT Final Stand#EUW,WT BrokenSword#EUW,1,0,0.0
Billy Bongo#EUW,WT BrokenSword#EUW,Tibbtokontop#EUW,BuddhaGoesSmite#EUW,WT Nasty Boy#EUW,1,0,0.0
Billy Bongo#EUW,WT BrokenSword#EUW,WT Final Stand#EUW,Tibbtokontop#EUW,WT GigaChad#1070,1,0,0.0
Billy Bongo#EUW,WT BrokenSword#EUW,WT Final Stand#EUW,Tibbtokontop#EUW,WT Nasty Boy#EUW,1,0,0.0
Billy Bongo#EUW,WT GigaChad#1070,WT Final Stand#EUW,Sporus#EUW,Tibbtokontop#EUW,1,0,0.0
BuddhaGoesSmite#EUW,Billy Bongo#EUW,WT Final Stand#EUW,Tibbtokontop#EUW,WT GigaChad#1070,1,0,0.0
BuddhaGoesSmite#EUW,Billy Bongo#EUW,WT GigaChad#1070,Sporus#EUW,Tibbtokontop#EUW,1,0,0.0
BuddhaGoesSmite#EUW,Billy Bongo#EUW,WT GigaChad#1070,Sporus#EUW,WT Final Stand#EUW,1,0,0.0
BuddhaGoesSmite#EUW,Tibbtokontop#EUW,WT Final Stand#EUW,Sporus#EUW,WT Nasty Boy#EUW,1,0,0.0
BuddhaGoesSmite#EUW,WT Nasty Boy#EUW,Billy Bongo#EUW,Tibbtokontop#EUW,WT Final Stand#EUW,1,0,0.0
Sporus#EUW,WT Final Stand#EUW,Billy Bongo#EUW,Tibbtokontop#EUW,WT BrokenSword#EUW,1,0,0.0
Tibbtokontop#EUW,Billy Bongo#EUW,WT BrokenSword#EUW,Sporus#EUW,WT Nasty Boy#EUW,1,0,0.0
Tibbtokontop#EUW,Billy Bongo#EUW,WT BrokenSword#EUW,WT Final Stand#EUW,WT Nasty Boy#EUW,1,0,0.0
Tibbtokontop#EUW,Billy Bongo#EUW,WT Final Stand#EUW,Sporus#EUW,WT Nasty Boy#EUW,1,0,0.0
Tibbtokontop#EUW,BuddhaGoesSmite#EUW,Billy Bongo#EUW,Sporus#EUW,WT BrokenSword#EUW,1,0,0.0
Tibbtokontop#EUW,BuddhaGoesSmite#EUW,Billy Bongo#EUW,WT Nasty Boy#EUW,WT BrokenSword#EUW,1,0,0.0
Tibbtokontop#EUW,BuddhaGoesSmite#EUW,WT Final Stand#EUW,Sporus#EUW,Billy Bongo#EUW,1,0,0.0
Tibbtokontop#EUW,Sporus#EUW,Billy Bongo#EUW,WT GigaChad#1070,BuddhaGoesSmite#EUW,1,0,0.0
Tibbtokontop#EUW,Sporus#EUW,WT Nasty Boy#EUW,BuddhaGoesSmite#EUW,WT Final Stand#EUW,1,0,0.0
Tibbtokontop#EUW,WT BrokenSword#EUW,Billy Bongo#EUW,WT Final Stand#EUW,BuddhaGoesSmite#EUW,1,0,0.0
Tibbtokontop#EUW,WT BrokenSword#EUW,Billy Bongo#EUW,WT Final Stand#EUW,WT Nasty Boy#EUW,1,0,0.0
Tibbtokontop#EUW,WT BrokenSword#EUW,Billy Bongo#EUW,WT Nasty Boy#EUW,BuddhaGoesSmite#EUW,1,0,0.0
Tibbtokontop#EUW,WT BrokenSword#EUW,Billy Bongo#EUW,WT Nasty Boy#EUW,WT Final Stand#EUW,1,0,0.0
Tibbtokontop#EUW,WT BrokenSword#EUW,BuddhaGoesSmite#EUW,Sporus#EUW,WT Nasty Boy#EUW,1,0,0.0
Tibbtokontop#EUW,WT BrokenSword#EUW,WT Final Stand#EUW,Sporus#EUW,BuddhaGoesSmite#EUW,1,0,0.0
Tibbtokontop#EUW,WT BrokenSword#EUW,WT Final Stand#EUW,WT GigaChad#1070,Billy Bongo#EUW,1,0,0.0
Tibbtokontop#EUW,WT BrokenSword#EUW,WT GigaChad#1070,BuddhaGoesSmite#EUW,WT Final Stand#EUW,1,0,0.0
Tibbtokontop#EUW,WT BrokenSword#EUW,WT Nasty Boy#EUW,Sporus#EUW,Billy Bongo#EUW,1,0,0.0
Tibbtokontop#EUW,WT Final Stand#EUW,WT GigaChad#1070,Sporus#EUW,BuddhaGoesSmite#EUW,1,0,0.0
Tibbtokontop#EUW,WT GigaChad#1070,WT BrokenSword#EUW,WT Final Stand#EUW,Billy Bongo#EUW,1,0,0.0
Tibbtokontop#EUW,WT Nasty Boy#EUW,Billy Bongo#EUW,Sporus#EUW,WT BrokenSword#EUW,1,0,0.0
Tibbtokontop#EUW,WT Nasty Boy#EUW,WT Final Stand#EUW,Billy Bongo#EUW,BuddhaGoesSmite#EUW,1,0,0.0
WT BrokenSword#EUW,Billy Bongo#EUW,BuddhaGoesSmite#EUW,Tibbtokontop#EUW,WT Nasty Boy#EUW,1,0,0.0
WT BrokenSword#EUW,Billy Bongo#EUW,WT Final Stand#EUW,BuddhaGoesSmite#EUW,Tibbtokontop#EUW,1,0,0.0
WT BrokenSword#EUW,WT Final Stand#EUW,BuddhaGoesSmite#EUW,WT GigaChad#1070,Tibbtokontop#EUW,1,0,0.0
WT BrokenSword#EUW,WT Nasty Boy#EUW,Billy Bongo#EUW,BuddhaGoesSmite#EUW,Tibbtokontop#EUW,1,0,0.0
WT BrokenSword#EUW,WT Nasty Boy#EUW,Billy Bongo#EUW,Sporus#EUW,Tibbtokontop#EUW,1,0,0.0
WT Final Stand#EUW,BuddhaGoesSmite#EUW,Billy Bongo#EUW,Tibbtokontop#EUW,WT BrokenSword#EUW,1,0,0.0
WT Final Stand#EUW,Sporus#EUW,WT Nasty Boy#EUW,Tibbtokontop#EUW,BuddhaGoesSmite#EUW,1,0,0.0
WT Final Stand#EUW,Tibbtokontop#EUW,Billy Bongo#EUW,WT Nasty Boy#EUW,BuddhaGoesSmite#EUW,1,0,0.0
WT Final Stand#EUW,Tibbtokontop#EUW,BuddhaGoesSmite#EUW,Sporus#EUW,WT Nasty Boy#EUW,1,0,0.0
WT Final Stand#EUW,WT BrokenSword#EUW,Billy Bongo#EUW,WT Nasty Boy#EUW,BuddhaGoesSmite#EUW,1,0,0.0
WT Final Stand#EUW,WT BrokenSword#EUW,Billy Bongo#EUW,WT Nasty Boy#EUW,WT GigaChad#1070,1,0,0.0
WT Final Stand#EUW,WT BrokenSword#EUW,BuddhaGoesSmite#EUW,Tibbtokontop#EUW,WT Nasty Boy#EUW,1,0,0.0
WT Final Stand#EUW,WT BrokenSword#EUW,WT GigaChad#1070,Sporus#EUW,WT Nasty Boy#EUW,1,0,0.0
WT Final Stand#EUW,WT GigaChad#1070,Billy Bongo#EUW,Sporus#EUW,BuddhaGoesSmite#EUW,1,0,0.0
WT Final Stand#EUW,WT GigaChad#1070,Tibbtokontop#EUW,BuddhaGoesSmite#EUW,WT BrokenSword#EUW,1,0,0.0
WT Final Stand#EUW,WT GigaChad#1070,Tibbtokontop#EUW,Sporus#EUW,Billy Bongo#EUW,1,0,0.0
WT Final Stand#EUW,WT GigaChad#1070,Tibbtokontop#EUW,Sporus#EUW,BuddhaGoesSmite#EUW,1,0,0.0
WT Final Stand#EUW,WT GigaChad#1070,Tibbtokontop#EUW,WT Nasty Boy#EUW,Billy Bongo#EUW,1,0,0.0
WT GigaChad#1070,Tibbtokontop#EUW,WT Final Stand#EUW,Billy Bongo#EUW,BuddhaGoesSmite#EUW,1,0,0.0
WT Nasty Boy#EUW,Billy Bongo#EUW,Tibbtokontop#EUW,Sporus#EUW,WT BrokenSword#EUW,1,0,0.0
WT Nasty Boy#EUW,Billy Bongo#EUW,WT BrokenSword#EUW,Tibbtokontop#EUW,BuddhaGoesSmite#EUW,1,0,0.0
WT Nasty Boy#EUW,Tibbtokontop#EUW,Billy Bongo#EUW,Sporus#EUW,WT BrokenSword#EUW,1,0,0.0
WT Nasty Boy#EUW,Tibbtokontop#EUW,Billy Bongo#EUW,WT Final Stand#EUW,BuddhaGoesSmite#EUW,1,0,0.0
WT Nasty Boy#EUW,WT BrokenSword#EUW,Billy Bongo#EUW,WT GigaChad#1070,WT Final Stand#EUW,1,0,0.0
WT Nasty Boy#EUW,WT Final Stand#EUW,Billy Bongo#EUW,Sporus#EUW,BuddhaGoesSmite#EUW,1,0,0.0
WT Nasty Boy#EUW,WT Final Stand#EUW,Billy Bongo#EUW,Tibbtokontop#EUW,WT BrokenSword#EUW,1,0,0.0
WT Nasty Boy#EUW,WT GigaChad#1070,BuddhaGoesSmite#EUW,Billy Bongo#EUW,WT Final Stand#EUW,1,0,0.0
